"PDF Number","Link"
"1","https://pec.ac.in/sites/default/files/uploads/RTI_mandatory_Info_07-01-2020.pdf"
"2","https://pec.ac.in/sites/default/files/uploads/rightinfo_12_form.pdf"
"3","https://pec.ac.in/sites/default/files/uploads/audit_report_rti.pdf"
"4","https://pec.ac.in/sites/default/files/uploads/nirf_2019-20.pdf"
"5","https://pec.ac.in/sites/default/files/office_orders/office_order_1-9-2020.pdf"
"6","https://pec.ac.in/sites/default/files/uploads/tenders/tender_cc_7-9-20.pdf"
"7","https://pec.ac.in/sites/default/files/uploads/jobs/Rolling%20Advertisment%20_2018.pdf"
"8","https://pec.ac.in/sites/default/files/uploads/jobs/application_form_19-7-18.pdf"
"9","https://pec.ac.in/sites/default/files/uploads/jobs/corrigendum_16-8-18.pdf"
"10","https://pec.ac.in/sites/default/files/uploads/pdf/corrigendum_1-1-2020.pdf"
"11","https://pec.ac.in/sites/default/files/uploads/pdf/Rolling%20Advertisment%20_2018.pdf"
"12","https://pec.ac.in/sites/default/files/uploads/jobs/jpb_31-8-20.pdf"
"13","https://pec.ac.in/sites/default/files/uploads/jobs/application_form_31-8-20.pdf"
"14","https://pec.ac.in/sites/default/files/uploads/jobs/job_18-8-20.pdf"
"15","https://pec.ac.in/sites/default/files/uploads/jobs/job_28-1-2020.pdf"
"16","https://pec.ac.in/sites/default/files/uploads/jobs/application_form_28-1-2020.pdf"
"17","https://pec.ac.in/sites/default/files/uploads/jobs/job_20-1-2020.pdf"
"18","https://pec.ac.in/sites/default/files/uploads/jobs/application_form_20-1-2020.pdf"
"19","https://pec.ac.in/sites/default/files/uploads/jobs/job_31-12-19.pdf"
"20","https://pec.ac.in/sites/default/files/uploads/jobs/registration_form_31-12-19.pdf"
"21","https://pec.ac.in/sites/default/files/uploads/jobs/jobs_26-12-19.pdf"
"22","https://pec.ac.in/sites/default/files/uploads/jobs/registration_form_26-12-19.pdf"
"23","https://pec.ac.in/sites/default/files/uploads/jobs/cirrigendum_1_31-12-19.pdf"
"24","https://pec.ac.in/sites/default/files/uploads/jobs/Advertisement_JRF.pdf"
"25","https://pec.ac.in/sites/default/files/uploads/jobs/Application%20format_JRF.pdf"
"26","https://pec.ac.in/sites/default/files/uploads/jobs/job_dean_alumni_25-11-19_1.pdf"
"27","https://pec.ac.in/sites/default/files/uploads/jobs/job_1_4-10-19.pdf"
"28","https://pec.ac.in/sites/default/files/uploads/events/Email_Manual.pdf"
"29","https://pec.ac.in/sites/default/files/uploads/events/sanjeev_kumar_award.pdf"
"30","https://pec.ac.in/donations/sites/default/files/donor_list_21-9-20.pdf"
"31","https://pec.ac.in/sites/default/files/uploads/events/STC-MMCO-2021.pdf"
"32","https://www.pec.ac.in/sites/default/files/uploads/events/notice_shivalik_hostel_covid.pdf"
"33","https://pec.ac.in/sites/default/files/uploads/events/corona_virus_urgent_notice.pdf"
"34","https://pec.ac.in/sites/default/files/uploads/notice_dsa_corona_virus_17-03-2020.pdf"
"35","https://pec.ac.in/sites/default/files/uploads/events/estate_office_notice_19-3-2020.pdf"
"36","https://pec.ac.in/sites/default/files/uploads/estate_office_notice_1_19-3-2020.pdf"
"37","https://pec.ac.in/sites/default/files/uploads/Rules%20%26%20Instructions%20for%20Hostels%20during%20COVID-19_compressed.pdf"
"38","https://aicte-india.org/sites/default/files/Covid19-Circular.pdf"
